Date/Time,Page,Kennziffer,Aktivität,Ort,User,Code,Referrer,Link,Benutzernamen.Column2,Status,Abfrage,Eingabe 1,Eingabe 2,Eingabe 3,Eingabe 4,Eingabe 5,Eingabe 6,Eingabe 7,Eingabe 8,Eingabe 9,Eingabe 10,Task,ResponsTask,Aufgabenniveau,Test,Testergebnis 1,Testergebnis 2
04/10/2021 11:56:38,Startseite,Startseite,,startseite,LBenutzer HE1021-901,HE1021-901,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:59,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-901,HE1021-901,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:06,Kraft,Kraft,,kraft-2,LBenutzer HE1021-901,HE1021-901,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:10,KS1a: Erarbeiten des Grundwissens,KS1a, Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,LBenutzer HE1021-901,HE1021-901,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:14,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-901,HE1021-901,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:16,Startseite,Startseite,,startseite,LBenutzer HE1021-905,HE1021-905,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,BÜ26LI,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:56,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-905,HE1021-905,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,BÜ26LI,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:59,Kraft,Kraft,,kraft-2,LBenutzer HE1021-905,HE1021-905,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,BÜ26LI,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:58,KS1c: Ãœben des Grundwissens,KS1c, Ãœben des Grundwissens,ks1c-ueben-des-grundwissens,LBenutzer HE1021-905,HE1021-905,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1c-ueben-des-grundwissens/,BÜ26LI,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:30,KS1c1Ãœ1_1: ErklÃ¤rung zur Identifikation einer Kraft,KS1c1U1_1, ErklÃ¤rung zur Identifikation einer Kraft,ks1c1ue1_1-erklaerung-zur-identifikation-einer-kraft,LBenutzer HE1021-905,HE1021-905,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1c-ueben-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1c-ueben-des-grundwissens/ks1c1ue1_1-erklaerung-zur-identifikation-einer-kraft/,BÜ26LI,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:32,Startseite,Startseite,,startseite,LBenutzer HE1021-904,HE1021-904,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:56,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-904,HE1021-904,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:59,Kraft,Kraft,,kraft-2,LBenutzer HE1021-904,HE1021-904,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:14,KS1a: Erarbeiten des Grundwissens,KS1a, Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,LBenutzer HE1021-904,HE1021-904,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:52,KD2a: Erarbeiten des Grundwissens,KD2a, Erarbeiten des Grundwissens,kd2a-erarbeiten-des-grundwissens,LBenutzer HE1021-904,HE1021-904,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd2a-erarbeiten-des-grundwissens/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:59,KD2a4: Zentripetalkraft,KD2a4, Zentripetalkraft,kd2a4-zentripetalkraft,LBenutzer HE1021-904,HE1021-904,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd2a-erarbeiten-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd2a-erarbeiten-des-grundwissens/kd2a4-zentripetalkraft/,MA05HE,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:30,Startseite,Startseite,,startseite,LBenutzer HE1021-906,HE1021-906,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,BA05BR,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:52,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-906,HE1021-906,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,BA05BR,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:59,Kraft,Kraft,,kraft-2,LBenutzer HE1021-906,HE1021-906,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,BA05BR,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:15,KS1a: Erarbeiten des Grundwissens,KS1a, Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,LBenutzer HE1021-906,HE1021-906,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,BA05BR,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:20,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-906,HE1021-906,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,BA05BR,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:07,Startseite,Startseite,,startseite,LBenutzer HE1021-907,HE1021-907,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,GI11SI,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:51,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-907,HE1021-907,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,GI11SI,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:58,Kraft,Kraft,,kraft-2,LBenutzer HE1021-907,HE1021-907,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,GI11SI,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:58,KS1a: Erarbeiten des Grundwissens,KS1a, Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,LBenutzer HE1021-907,HE1021-907,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,GI11SI,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:05,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-907,HE1021-907,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,GI11SI,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:51,Startseite,Startseite,,startseite,LBenutzer HE1021-908,HE1021-908,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,AS20UR,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:24,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-908,HE1021-908,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,AS20UR,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:27,Kraft,Kraft,,kraft-2,LBenutzer HE1021-908,HE1021-908,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,AS20UR,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:16,KS1a: Erarbeiten des Grundwissens,KS1a, Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,LBenutzer HE1021-908,HE1021-908,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,AS20UR,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:44,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-908,HE1021-908,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,AS20UR,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:06,Startseite,Startseite,,startseite,LBenutzer HE1021-909,HE1021-909,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,LI27AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:05,Startseite,Startseite,,startseite,LBenutzer HE1021-909,HE1021-909,,https://lenvi.l3hrit.de/,LI27AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:52,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-909,HE1021-909,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,LI27AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:56,Kraft,Kraft,,kraft-2,LBenutzer HE1021-909,HE1021-909,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,LI27AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:08,KS1a: Erarbeiten des Grundwissens,KS1a, Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,LBenutzer HE1021-909,HE1021-909,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,LI27AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:29,Startseite,Startseite,,startseite,LBenutzer HE1021-910,HE1021-910,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,GI13SA,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:12,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-910,HE1021-910,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,GI13SA,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:45,Kraft,Kraft,,kraft-2,LBenutzer HE1021-910,HE1021-910,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,GI13SA,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:04,KS1a: Erarbeiten des Grundwissens,KS1a, Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,LBenutzer HE1021-910,HE1021-910,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,GI13SA,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:09,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-910,HE1021-910,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,GI13SA,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:53,Startseite,Startseite,,startseite,LBenutzer HE1021-911,HE1021-911,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,SA20AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:17,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-911,HE1021-911,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,SA20AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:22,Kraft,Kraft,,kraft-2,LBenutzer HE1021-911,HE1021-911,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,SA20AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:08,KS1a: Erarbeiten des Grundwissens,KS1a, Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,LBenutzer HE1021-911,HE1021-911,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,SA20AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:15,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-911,HE1021-911,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,SA20AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:22,Startseite,Startseite,,startseite,LBenutzer HE1021-912,HE1021-912,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,BR26AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:54,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-912,HE1021-912,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,BR26AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:58,Kraft,Kraft,,kraft-2,LBenutzer HE1021-912,HE1021-912,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,BR26AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:11,KS1a: Erarbeiten des Grundwissens,KS1a, Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,LBenutzer HE1021-912,HE1021-912,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,BR26AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:57,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-912,HE1021-912,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,BR26AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:54:55,Startseite,Startseite,,startseite,LBenutzer HE1021-913,HE1021-913,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,DA10GH,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:55,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-913,HE1021-913,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,DA10GH,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:03,Kraft,Kraft,,kraft-2,LBenutzer HE1021-913,HE1021-913,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,DA10GH,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:11,KS1a: Erarbeiten des Grundwissens,KS1a, Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,LBenutzer HE1021-913,HE1021-913,https://lenvi.l3hrit.de/online-lernen/kraft-2/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,DA10GH,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:17,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-913,HE1021-913,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,DA10GH,,,,,,,,,,,,,,,,,,
04/10/2021 11:55:29,Startseite,Startseite,,startseite,LBenutzer HE1021-914,HE1021-914,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,RE15AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:22,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-914,HE1021-914,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,RE15AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:55,Kraft,Kraft,,kraft-2,LBenutzer HE1021-914,HE1021-914,https://lenvi.l3hrit.de/einfuehrungs-tour/,https://lenvi.l3hrit.de/online-lernen/kraft-2/,RE15AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:56:29,Startseite,Startseite,,startseite,LBenutzer HE1021-915,HE1021-915,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,LU28RE,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:16,KS1c: Ãœben des Grundwissens,KS1c, Ãœben des Grundwissens,ks1c-ueben-des-grundwissens,LBenutzer HE1021-909,HE1021-909,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1c-ueben-des-grundwissens/,LI27AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:27,KS1a1B1_1A: Kraft identifizieren anhand von Serienbildern,KS1a1B1_1A, Kraft identifizieren anhand von Serienbildern,ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern,LBenutzer HE1021-906,HE1021-906,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern/,BA05BR,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:33,Startseite,Startseite,,startseite,LBenutzer HE1021-916,HE1021-916,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/,CA31IT,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:36,KS1a1B1_1A: Kraft identifizieren anhand von Serienbildern,KS1a1B1_1A, Kraft identifizieren anhand von Serienbildern,ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern,LBenutzer HE1021-911,HE1021-911,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern/,SA20AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:42,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-909,HE1021-909,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,LI27AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:42,KS1a1B1_1A: Kraft identifizieren anhand von Serienbildern,KS1a1B1_1A, Kraft identifizieren anhand von Serienbildern,ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern,LBenutzer HE1021-913,HE1021-913,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern/,DA10GH,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:43,KS1c1Ãœ7_1: Keine Aussage Ã¼ber Kraft,KS1c1U7_1, Keine Aussage Ã¼ber Kraft,ks1c1ue7_1-keine-aussage-ueber-kraft,LBenutzer HE1021-905,HE1021-905,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1c-ueben-des-grundwissens/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1c-ueben-des-grundwissens/ks1c1ue7_1-keine-aussage-ueber-kraft/,BÜ26LI,,,,,,,,,,,,,,,,,,
04/10/2021 11:57:47,KS1a1B1_1A: Kraft identifizieren anhand von Serienbildern,KS1a1B1_1A, Kraft identifizieren anhand von Serienbildern,ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern,LBenutzer HE1021-912,HE1021-912,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern/,BR26AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:58:03,KS1a1: Kraft und Wirkung,KS1a1, Kraft und Wirkung,ka1a1-kraft-und-wirkung,LBenutzer HE1021-911,HE1021-911,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,SA20AN,,,,,,,,,,,,,,,,,,
04/10/2021 11:58:03,EinfÃ¼hrungs-Tour,Einfuhrung,,einfuehrungs-tour,LBenutzer HE1021-916,HE1021-916,https://lenvi.l3hrit.de/,https://lenvi.l3hrit.de/einfuehrungs-tour/,CA31IT,,,,,,,,,,,,,,,,,,
04/10/2021 11:58:04,KS1a1B1_1A: Kraft identifizieren anhand von Serienbildern,KS1a1B1_1A, Kraft identifizieren anhand von Serienbildern,ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern,LBenutzer HE1021-900,HE1021-900,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern/,OF29VL,,,,,,,,,,,,,,,,,,
