,index,Date/Time,Post Title,Post Slug,Post Type,Username,Activity,IP address,Referrer,Location,User Role,Permalink,User Email,Visit Duration
21,4472,2022-10-05 08:48:14,KS1a1B1_1A: Kraft identifizieren anhand von Serienbildern,ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern,page,HE1022-803,visited,8d6877669fd3824d2bc0ad07209f9627,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern/,client@lehrit.de,
22,4471,2022-10-05 08:48:29,KS1a1B1_1A: Kraft identifizieren anhand von Serienbildern,ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern,page,HE1022-806,visited,61117f475a954f2bec32e8ea0e83aa56,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern/,client@lehrit.de,
23,4470,2022-10-05 08:48:43,KS1a1B1_1A: Kraft identifizieren anhand von Serienbildern,ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern,page,HE1022-805,visited,b43735c6cd047be3dd40cfe269911496,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern/,client@lehrit.de,
24,4469,2022-10-05 08:48:52,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-803,visited,8d6877669fd3824d2bc0ad07209f9627,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
25,4468,2022-10-05 08:49:09,Kraft,kraft-2,page,HE1022-802,visited,3b9ff0fd9e534440a07b91a1d33919ac,https://lenvi.l3hrit.de/einfuehrungs-tour/,Marburg,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/,client@lehrit.de,
26,4467,2022-10-05 08:49:10,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-805,visited,b43735c6cd047be3dd40cfe269911496,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
27,4466,2022-10-05 08:49:15,KS1a1B2_1A: Keine Aussage über Kraft anhand Serienbild,ks1a1b2_1a-keine-aussage-ueber-kraft-anhand-serienbild,page,HE1022-803,visited,8d6877669fd3824d2bc0ad07209f9627,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b2_1a-keine-aussage-ueber-kraft-anhand-serienbild/,client@lehrit.de,
28,4465,2022-10-05 08:49:23,KS1a1B2_1A: Keine Aussage über Kraft anhand Serienbild,ks1a1b2_1a-keine-aussage-ueber-kraft-anhand-serienbild,page,HE1022-805,visited,b43735c6cd047be3dd40cfe269911496,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b2_1a-keine-aussage-ueber-kraft-anhand-serienbild/,client@lehrit.de,
29,4464,2022-10-05 08:49:25,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-803,visited,8d6877669fd3824d2bc0ad07209f9627,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b2_1a-keine-aussage-ueber-kraft-anhand-serienbild/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
30,4463,2022-10-05 08:49:31,KS1a1B2_1A: Keine Aussage über Kraft anhand Serienbild,ks1a1b2_1a-keine-aussage-ueber-kraft-anhand-serienbild,page,HE1022-804,visited,1f87024a42c02938a5775089746c4fd8,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b2_1a-keine-aussage-ueber-kraft-anhand-serienbild/,client@lehrit.de,
31,4462,2022-10-05 08:49:45,KS1a1B3_1A: Identifizieren durch Verformung,ks1a1b3_1a-identifizieren-durch-verformung,page,HE1022-803,visited,8d6877669fd3824d2bc0ad07209f9627,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b3_1a-identifizieren-durch-verformung/,client@lehrit.de,
32,4461,2022-10-05 08:49:50,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-804,visited,1f87024a42c02938a5775089746c4fd8,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b2_1a-keine-aussage-ueber-kraft-anhand-serienbild/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
33,4460,2022-10-05 08:49:50,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-803,visited,8d6877669fd3824d2bc0ad07209f9627,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b3_1a-identifizieren-durch-verformung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
34,4459,2022-10-05 08:49:54,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-805,visited,b43735c6cd047be3dd40cfe269911496,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b2_1a-keine-aussage-ueber-kraft-anhand-serienbild/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
35,4458,2022-10-05 08:49:58,KS3a: Erarbeiten des Grundwissens,ks3a-erarbeiten-des-grundwissens,page,HE1022-802,visited,3b9ff0fd9e534440a07b91a1d33919ac,https://lenvi.l3hrit.de/online-lernen/kraft-2/,Marburg,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks3a-erarbeiten-des-grundwissens/,client@lehrit.de,
36,4457,2022-10-05 08:50:00,"KS1a1B4_1A: Situation konstruieren, Kraftwirkung erkennbar",ks1a1b4_1a-situation-konstruieren-kraftwirkung-erkennbar,page,HE1022-803,visited,8d6877669fd3824d2bc0ad07209f9627,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b4_1a-situation-konstruieren-kraftwirkung-erkennbar/,client@lehrit.de,
37,4456,2022-10-05 08:50:00,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-806,visited,61117f475a954f2bec32e8ea0e83aa56,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b1_1a-kraft-identifizieren-anhand-von-serienbildern/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
38,4455,2022-10-05 08:50:03,KS1a: Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,page,HE1022-800,visited,967a26e50282e352204cec3bc8d1d3f4,https://lenvi.l3hrit.de/online-lernen/kraft-2/,Marburg,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,client@lehrit.de,
39,4454,2022-10-05 08:50:07,KS1a1B3_1A: Identifizieren durch Verformung,ks1a1b3_1a-identifizieren-durch-verformung,page,HE1022-804,visited,1f87024a42c02938a5775089746c4fd8,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b3_1a-identifizieren-durch-verformung/,client@lehrit.de,
40,4453,2022-10-05 08:50:08,KS1a1B2_1A: Keine Aussage über Kraft anhand Serienbild,ks1a1b2_1a-keine-aussage-ueber-kraft-anhand-serienbild,page,HE1022-806,visited,61117f475a954f2bec32e8ea0e83aa56,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b2_1a-keine-aussage-ueber-kraft-anhand-serienbild/,client@lehrit.de,
41,4452,2022-10-05 08:50:11,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-803,visited,8d6877669fd3824d2bc0ad07209f9627,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b4_1a-situation-konstruieren-kraftwirkung-erkennbar/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
42,4451,2022-10-05 08:50:12,KS1a1B3_1A: Identifizieren durch Verformung,ks1a1b3_1a-identifizieren-durch-verformung,page,HE1022-805,visited,b43735c6cd047be3dd40cfe269911496,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b3_1a-identifizieren-durch-verformung/,client@lehrit.de,
43,4450,2022-10-05 08:50:14,Kraft,kraft-2,page,HE1022-800,visited,967a26e50282e352204cec3bc8d1d3f4,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,Marburg,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/,client@lehrit.de,
44,4449,2022-10-05 08:50:15,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-804,visited,1f87024a42c02938a5775089746c4fd8,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b3_1a-identifizieren-durch-verformung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
45,4448,2022-10-05 08:50:22,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-805,visited,b43735c6cd047be3dd40cfe269911496,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b3_1a-identifizieren-durch-verformung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
46,4447,2022-10-05 08:50:24,KS1a: Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,page,HE1022-800,visited,967a26e50282e352204cec3bc8d1d3f4,https://lenvi.l3hrit.de/online-lernen/kraft-2/,Marburg,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,client@lehrit.de,
47,4446,2022-10-05 08:50:30,"KS1a1B4_1A: Situation konstruieren, Kraftwirkung erkennbar",ks1a1b4_1a-situation-konstruieren-kraftwirkung-erkennbar,page,HE1022-804,visited,1f87024a42c02938a5775089746c4fd8,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b4_1a-situation-konstruieren-kraftwirkung-erkennbar/,client@lehrit.de,
48,4445,2022-10-05 08:50:32,Einführungs-Tour,einfuehrungs-tour,page,HE1022-801,visited,1a27c854b2110b362d49ff63a246630b,https://lenvi.l3hrit.de/,Mengerskirchen,subscriber,https://lenvi.l3hrit.de/einfuehrungs-tour/,client@lehrit.de,
49,4444,2022-10-05 08:50:34,"KS1a1B4_1A: Situation konstruieren, Kraftwirkung erkennbar",ks1a1b4_1a-situation-konstruieren-kraftwirkung-erkennbar,page,HE1022-805,visited,b43735c6cd047be3dd40cfe269911496,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b4_1a-situation-konstruieren-kraftwirkung-erkennbar/,client@lehrit.de,
50,4443,2022-10-05 08:50:36,Kraft,kraft-2,page,HE1022-801,visited,1a27c854b2110b362d49ff63a246630b,https://lenvi.l3hrit.de/einfuehrungs-tour/,Mengerskirchen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/,client@lehrit.de,
51,4442,2022-10-05 08:50:42,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-805,visited,b43735c6cd047be3dd40cfe269911496,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b4_1a-situation-konstruieren-kraftwirkung-erkennbar/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
52,4441,2022-10-05 08:50:43,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-800,visited,967a26e50282e352204cec3bc8d1d3f4,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,Marburg,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
53,4440,2022-10-05 08:50:45,KS1a1K1_1A: Keine Aussage über Kraft,ks1a1k1_1a-keine-aussage-ueber-kraft,page,HE1022-803,visited,8d6877669fd3824d2bc0ad07209f9627,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1k1_1a-keine-aussage-ueber-kraft/,client@lehrit.de,
54,4439,2022-10-05 08:50:47,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-806,visited,61117f475a954f2bec32e8ea0e83aa56,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b2_1a-keine-aussage-ueber-kraft-anhand-serienbild/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
55,4438,2022-10-05 08:50:48,KS3a1: Gewichtskraft,bs3a1-gewichtskraft,page,HE1022-802,visited,3b9ff0fd9e534440a07b91a1d33919ac,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks3a-erarbeiten-des-grundwissens/,Marburg,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks3a-erarbeiten-des-grundwissens/bs3a1-gewichtskraft/,client@lehrit.de,
56,4437,2022-10-05 08:50:49,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-804,visited,1f87024a42c02938a5775089746c4fd8,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b4_1a-situation-konstruieren-kraftwirkung-erkennbar/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
57,4436,2022-10-05 08:50:54,KS1a1B3_1A: Identifizieren durch Verformung,ks1a1b3_1a-identifizieren-durch-verformung,page,HE1022-806,visited,61117f475a954f2bec32e8ea0e83aa56,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b3_1a-identifizieren-durch-verformung/,client@lehrit.de,
58,4435,2022-10-05 08:51:05,KS1a: Erarbeiten des Grundwissens,ks1a-erarbeiten-des-grundwissens,page,HE1022-801,visited,1a27c854b2110b362d49ff63a246630b,https://lenvi.l3hrit.de/online-lernen/kraft-2/,Mengerskirchen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,client@lehrit.de,
59,4434,2022-10-05 08:51:12,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-801,visited,1a27c854b2110b362d49ff63a246630b,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,Mengerskirchen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
60,4433,2022-10-05 08:51:18,KS1a1K1_1A: Keine Aussage über Kraft,ks1a1k1_1a-keine-aussage-ueber-kraft,page,HE1022-804,visited,1f87024a42c02938a5775089746c4fd8,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1k1_1a-keine-aussage-ueber-kraft/,client@lehrit.de,
61,4432,2022-10-05 08:51:25,KS1a1K3_1A: Zeitpunkt der Kraft identifizieren,ks1a1k3_1a-zeitpunkt-der-kraft-identifizieren,page,HE1022-805,visited,b43735c6cd047be3dd40cfe269911496,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1k3_1a-zeitpunkt-der-kraft-identifizieren/,client@lehrit.de,
62,4431,2022-10-05 08:51:25,KS1a1: Kraft und Wirkung,ka1a1-kraft-und-wirkung,page,HE1022-806,visited,61117f475a954f2bec32e8ea0e83aa56,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/ks1a1b3_1a-identifizieren-durch-verformung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ka1a1-kraft-und-wirkung/,client@lehrit.de,
